SP,reserva_afectivo,reserva_racional,utilidad_afectivo,utilidad_racional
4,75.1548,116.831,0.0721441,0.451295
4,75.1548,116.831,0.0721441,0.451295
4,75.1548,116.831,0.0721441,0.451295
4,75.1548,116.831,0.0721441,0.451295
4,75.1548,116.831,0.0721441,0.451295
4,75.1548,116.831,0.0721441,0.451295
4,75.1548,116.831,0.0721441,0.451295
4,75.1548,116.831,0.0721441,0.451295
4,75.1548,116.831,0.0721441,0.451295
4,75.1548,116.831,0.00115431,0.477019
5,75.1548,116.831,0.00115431,0.477019
5,4.38991,3.03706,0.00115431,0.477019
5,4.38991,3.03706,0.00115431,0.477019
5,4.38991,3.03706,0.00100309,0.461755
6,4.38991,3.03706,0.00100309,0.461755
6,61.2952,93.7427,0.00100309,0.461755
6,61.2952,93.7427,0.00100309,0.461755
6,61.2952,93.7427,9.12813,0.169002
7,61.2952,93.7427,9.12813,0.169002
7,96.2127,161.697,9.12813,0.169002
7,96.2127,161.697,9.12813,0.169002
7,96.2127,161.697,9.12813,0.169002
7,96.2127,161.697,9.12813,0.169002
7,96.2127,161.697,9.12813,0.169002
7,96.2127,161.697,9.12813,0.169002
7,96.2127,161.697,9.12813,0.169002
7,96.2127,161.697,9.12813,0.169002
7,96.2127,161.697,9.12813,0.169002
7,96.2127,161.697,9.12813,0.169002
7,96.2127,161.697,9.12813,0.169002
7,96.2127,161.697,9.12813,0.169002
7,96.2127,161.697,9.12813,0.169002
7,96.2127,161.697,9.12813,0.169002
7,96.2127,161.697,9.12813,0.169002
7,96.2127,161.697,9.12813,0.169002
7,96.2127,161.697,9.12813,0.169002
7,96.2127,161.697,9.12813,0.169002
7,96.2127,161.697,9.12813,0.169002
7,96.2127,161.697,9.12813,0.169002
7,96.2127,161.697,9.12813,0.169002
7,96.2127,161.697,9.12813,0.169002
7,96.2127,161.697,9.12813,0.169002
7,96.2127,161.697,9.12813,0.169002
7,96.2127,161.697,2.28203,0.179142
8,96.2127,161.697,2.28203,0.179142
8,142.581,169.199,2.28203,0.179142
8,142.581,169.199,2.28203,0.179142
8,142.581,169.199,2.28203,0.179142
8,142.581,169.199,2.28203,0.179142
8,142.581,169.199,2.28203,0.179142
8,142.581,169.199,2.28203,0.179142
8,142.581,169.199,2.28203,0.179142
8,142.581,169.199,2.28203,0.179142
8,142.581,169.199,2.28203,0.179142
8,142.581,169.199,2.28203,0.179142
8,142.581,169.199,2.28203,0.179142
8,142.581,169.199,2.28203,0.179142
8,142.581,169.199,2.28203,0.179142
8,142.581,169.199,2.28203,0.179142
8,142.581,169.199,2.28203,0.0456813
9,142.581,169.199,2.28203,0.0456813
9,162.406,267.209,2.28203,0.0456813
9,162.406,267.209,2.28203,0.0456813
9,162.406,267.209,2.28203,0.0456813
9,162.406,267.209,2.28203,0.0456813
9,162.406,267.209,2.28203,0.0456813
9,162.406,267.209,2.28203,0.0456813
9,162.406,267.209,2.28203,0.0456813
9,162.406,267.209,2.28203,0.0456813
9,162.406,267.209,2.28203,0.0456813
9,162.406,267.209,2.28203,0.0456813
9,162.406,267.209,2.28203,0.0456813
9,162.406,267.209,2.28203,0.0456813
9,162.406,267.209,2.28203,0.0456813
9,162.406,267.209,2.28203,0.0456813
9,162.406,267.209,2.28203,0.0456813
9,162.406,267.209,2.28203,0.0456813
9,162.406,267.209,2.28203,0.0456813
9,162.406,267.209,2.28203,0.0456813
9,162.406,267.209,2.28203,0.0456813
9,162.406,267.209,2.28203,0.0456813
9,162.406,267.209,2.28203,0.0456813
9,162.406,267.209,2.28203,0.0456813
