SP,N,Tipo,ID_Agente,Reserva,Utilidad
1,1,Afectivo,1,81.3,0.0
1,1,Racional,2,79.6,0.0
2,1,Afectivo,1,81.3,0.0
2,1,Racional,2,79.6,0.0
2,1,Afectivo,1,175.0,0.0
2,1,Racional,2,86.6,0.0
2,1,Afectivo,1,175.0,0.0
2,1,Racional,2,86.6,0.0
2,1,Afectivo,1,175.0,0.0
2,1,Racional,2,86.6,0.0
2,1,Afectivo,1,175.0,0.0
2,1,Racional,2,86.6,0.0
2,1,Afectivo,1,175.0,0.0
2,1,Racional,2,86.6,0.0
2,1,Afectivo,1,175.0,0.0
2,1,Racional,2,86.6,0.0
2,1,Afectivo,1,175.0,0.0
2,1,Racional,2,86.6,0.0
2,1,Afectivo,1,175.0,0.0
2,1,Racional,2,86.6,0.0
2,1,Afectivo,1,175.0,0.0
2,1,Racional,2,86.6,0.0
2,1,Afectivo,1,175.0,0.0
2,1,Racional,2,86.6,0.0
2,1,Afectivo,1,175.0,0.0
2,1,Racional,2,86.6,0.0
2,1,Afectivo,1,175.0,0.0
2,1,Racional,2,86.6,0.0
2,1,Afectivo,1,175.0,0.0
2,1,Racional,2,86.6,0.0
2,1,Afectivo,1,175.0,0.0
2,1,Racional,2,86.6,0.0
2,1,Afectivo,1,175.0,0.0
2,1,Racional,2,86.6,0.0
2,1,Afectivo,1,175.0,0.0
2,1,Racional,2,86.6,0.0
2,1,Afectivo,1,175.0,0.0
2,1,Racional,2,86.6,0.0
2,1,Afectivo,1,175.0,0.0
2,1,Racional,2,86.6,0.0
2,2,Afectivo,1,175.0,0.016
2,2,Racional,2,86.6,0.0
3,2,Afectivo,1,175.0,0.016
3,2,Racional,2,86.6,0.0
3,2,Afectivo,1,176.0,0.016
3,2,Racional,2,107.0,0.0
3,2,Afectivo,1,176.0,0.016
3,2,Racional,2,107.0,0.0
3,2,Afectivo,1,176.0,0.016
3,2,Racional,2,107.0,0.0
3,2,Afectivo,1,176.0,0.016
3,2,Racional,2,107.0,0.0
3,2,Afectivo,1,176.0,0.016
3,2,Racional,2,107.0,0.0
3,2,Afectivo,1,176.0,0.016
3,2,Racional,2,107.0,0.0
3,2,Afectivo,1,176.0,0.016
3,2,Racional,2,107.0,0.0
3,2,Afectivo,1,176.0,0.016
3,2,Racional,2,107.0,0.0
3,2,Afectivo,1,176.0,0.016
3,2,Racional,2,107.0,0.0
3,2,Afectivo,1,176.0,0.016
3,2,Racional,2,107.0,0.0
3,2,Afectivo,1,176.0,0.016
3,2,Racional,2,107.0,0.0
3,2,Afectivo,1,176.0,0.016
3,2,Racional,2,107.0,0.0
3,2,Afectivo,1,176.0,0.016
3,2,Racional,2,107.0,0.0
3,2,Afectivo,1,176.0,0.016
3,2,Racional,2,107.0,0.0
3,2,Afectivo,1,176.0,0.016
3,2,Racional,2,107.0,0.0
3,2,Afectivo,1,176.0,0.016
3,2,Racional,2,107.0,0.0
3,2,Afectivo,1,176.0,0.016
3,2,Racional,2,107.0,0.0
3,2,Afectivo,1,176.0,0.016
3,2,Racional,2,107.0,0.0
3,2,Afectivo,1,176.0,0.016
3,2,Racional,2,107.0,0.0
3,2,Afectivo,1,176.0,0.016
3,2,Racional,2,107.0,0.0
3,2,Afectivo,1,176.0,0.016
3,2,Racional,2,107.0,0.0
3,2,Afectivo,1,176.0,0.016
3,2,Racional,2,107.0,0.0
3,2,Afectivo,1,176.0,0.016
3,2,Racional,2,107.0,0.0
3,2,Afectivo,1,176.0,0.016
3,2,Racional,2,107.0,0.0
3,2,Afectivo,1,176.0,0.016
3,2,Racional,2,107.0,0.0
3,2,Afectivo,1,176.0,0.016
3,2,Racional,2,107.0,0.0
3,2,Afectivo,1,176.0,0.016
3,2,Racional,2,107.0,0.0
3,2,Afectivo,1,176.0,0.016
3,2,Racional,2,107.0,0.0
3,2,Afectivo,1,176.0,0.016
3,2,Racional,2,107.0,0.0
3,2,Afectivo,1,176.0,0.016
3,2,Racional,2,107.0,0.0
3,2,Afectivo,1,176.0,0.016
3,2,Racional,2,107.0,0.0
3,2,Afectivo,1,176.0,0.016
3,2,Racional,2,107.0,0.0
3,3,Afectivo,1,176.0,0.037
3,3,Racional,2,107.0,0.0
4,3,Afectivo,1,176.0,0.037
4,3,Racional,2,107.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
4,3,Racional,2,157.0,0.0
4,3,Afectivo,1,198.0,0.037
